Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
The Shawshank Redemption,1994,142,9.3,81,2559534,28340000,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather,1972,175,9.2,100,1761949,134970000,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
The Dark Knight,2008,152,9.1,84,2519388,534860000,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
The Lord of the Rings: The Return of the King,2003,201,9.0,94,1762714,377850000,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Schindler's List,1993,195,9.0,94,1305269,96900000,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
The Godfather: Part II,1974,202,9.0,90,1220139,57300000,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
12 Angry Men,1957,96,9.0,96,756232,4360000,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.9,92,1784602,315540000,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Pulp Fiction,1994,154,8.9,94,1966461,107930000,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Inception,2010,148,8.8,74,2247417,292580000,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
The Lord of the Rings: The Two Towers,2002,179,8.8,87,1592520,342550000,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Fight Club,1999,139,8.8,66,2014657,37030000,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Forrest Gump,1994,142,8.8,82,1974976,330250000,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
"Il buono, il brutto, il cattivo",1966,161,8.8,90,737162,6100000,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Interstellar,2014,169,8.7,74,1704300,188020000,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Matrix,1999,136,8.7,73,1844278,171480000,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Goodfellas,1990,146,8.7,90,1105292,46840000,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
The Empire Strikes Back,1980,124,8.7,82,1239642,290480000,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
One Flew Over the Cuckoo's Nest,1975,133,8.7,84,976437,112000000,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
Shichinin no samurai,1954,207,8.7,98,336757,270000,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
Cidade de Deus,2002,130,8.6,79,736839,7560000,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
The Pianist,2002,150,8.6,85,797801,32570000,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
Sen to Chihiro no kamikakushi,2001,125,8.6,96,723066,10060000,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
Saving Private Ryan,1998,169,8.6,91,1334327,216540000,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
The Green Mile,1999,189,8.6,61,1244792,136800000,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
La vita è bella,1997,116,8.6,59,671264,57600000,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
Se7en,1995,127,8.6,65,1569646,100130000,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Léon,1994,110,8.6,64,1116728,19500000,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
Terminator 2: Judgment Day,1991,137,8.6,75,1060186,204840000,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg."
The Silence of the Lambs,1991,118,8.6,85,1373424,130740000,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Back to the Future,1985,116,8.6,87,1149519,210610000,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
Star Wars,1977,121,8.6,90,1311114,322740000,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
Chhichhore,2019,143,8.5,79,48576,900000,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
Gisaengchung,2019,132,8.5,96,726006,53370000,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Avengers: Infinity War,2018,149,8.5,68,992026,678820000,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Whiplash,2014,106,8.5,88,797431,13090000,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Django Unchained,2012,165,8.5,81,1479295,162810000,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
The Intouchables,2011,112,8.5,57,823686,13180000,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
3 Idiots,2009,170,8.5,67,381286,6530000,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
The Prestige,2006,130,8.5,66,1283055,53090000,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
The Departed,2006,151,8.5,85,1275443,132380000,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Memento,2000,113,8.5,80,1198595,25540000,A man with short-term memory loss attempts to track down his wife's murderer.
Gladiator,2000,155,8.5,67,1441697,187710000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
